,坐席平均聊天时长,平均拨号间隔,进线时长,坐席忙占比,呼叫间隔,呼损率,模拟客户数量,实验结束时间
0,26.90446246031748,6.0,11.373542350318456,70.4%,6,62.3%,2000,2022-06-28 15:10:28.740357
1,27.49735317962466,8.0,15.507015975806455,64.0%,8,55.6%,2000,2022-06-28 15:10:32.016051
2,27.17478161036036,10.0,17.977393878103832,60.2%,10,48.4%,2000,2022-06-28 15:10:35.313798
3,26.896083585566977,12.0,22.63631999173557,54.4%,12,42.9%,2000,2022-06-28 15:10:38.738602
4,26.785863158878506,14.0,25.69722119662921,51.1%,14,36.2%,2000,2022-06-28 15:10:41.906840
5,26.468233176146814,16.0,32.31895109191174,45.1%,16,33.3%,2000,2022-06-28 15:10:45.044949
6,26.924126578856125,18.0,35.61006339409725,43.1%,18,29.8%,2000,2022-06-28 15:10:48.208905
7,26.80535864309765,20.0,40.61709967959527,39.8%,20,28.3%,2000,2022-06-28 15:10:51.381497
8,26.7767931802508,22.0,42.228647912087894,38.8%,22,23.4%,2000,2022-06-28 15:10:54.578169
9,27.48423644544096,24.0,44.35225741766467,38.3%,24,21.7%,2000,2022-06-28 15:10:57.856112
10,26.762181278026926,26.0,51.110967601796375,34.4%,26,18.7%,2000,2022-06-28 15:11:01.069539
11,27.441368705234137,28.0,49.75325352137932,35.6%,28,17.6%,2000,2022-06-28 15:11:04.412649
12,26.901998291780842,30.0,55.49182394650204,32.7%,30,16.2%,2000,2022-06-28 15:11:07.730325
13,26.918559131543613,32.0,59.195822600806466,31.3%,32,11.8%,2000,2022-06-28 15:11:11.009312
14,27.330635572715554,34.0,60.32559602190724,31.2%,34,10.3%,2000,2022-06-28 15:11:14.307424
15,26.521414718459482,36.0,69.20170166090428,27.7%,36,8.7%,2000,2022-06-28 15:11:17.556388
16,26.827842066499365,38.0,68.62586256407036,28.1%,38,6.0%,2000,2022-06-28 15:11:20.827988
17,27.21197303897687,40.0,70.5579168707317,27.9%,40,4.2%,2000,2022-06-28 15:11:24.117344
18,26.81935278728927,42.0,82.23062663636361,24.6%,42,4.2%,2000,2022-06-28 15:11:27.284266
19,27.036369966748783,44.0,187.58937157583233,12.6%,44,3.2%,2000,2022-06-28 15:11:30.545869
20,27.344369751431838,46.0,177.21382419266055,13.4%,46,1.7%,2000,2022-06-28 15:11:33.944797
21,26.48072222732765,48.0,194.23700487530272,12.0%,48,1.1%,2000,2022-06-28 15:11:37.179981
22,27.01304109299518,50.0,197.98599934340987,12.0%,50,0.8%,2000,2022-06-28 15:11:40.434851
23,27.4036437920094,52.0,196.6403906329412,12.2%,52,0.4%,2000,2022-06-28 15:11:43.672237
24,27.31563394655586,54.0,203.6033219191438,11.8%,54,0.2%,2000,2022-06-28 15:11:46.927603
25,26.797533860981314,56.0,205.27331478245614,11.6%,56,0.6%,2000,2022-06-28 15:11:50.235768
26,27.42029453591789,58.0,203.8609982979452,11.9%,58,0.1%,2000,2022-06-28 15:11:53.560240
