,坐席平均聊天时长,平均拨号间隔,进线时长,坐席忙占比,并发量,呼损率,模拟客户数量,实验结束时间
0,26.513134666666694,6.0,12.368774425324649,68.3%,6,62.0%,2000,2022-06-26 12:06:38.143824
1,27.251911737265402,8.0,15.813649793010764,63.3%,8,53.7%,2000,2022-06-26 12:06:41.491503
2,26.98224833027522,10.0,19.142583570114947,58.6%,10,47.8%,2000,2022-06-26 12:06:44.884936
3,26.555031797468367,12.0,24.14590769556024,52.4%,12,41.8%,2000,2022-06-26 12:06:48.154635
4,27.13402942669173,14.0,25.482023082862526,51.6%,14,36.7%,2000,2022-06-26 12:06:51.500268
5,26.807779967071063,16.0,28.745698329861106,48.3%,16,32.5%,2000,2022-06-26 12:06:54.831493
6,26.818879351307217,18.0,32.089401193126,45.6%,18,31.0%,2000,2022-06-26 12:06:58.272425
7,26.838256092651758,20.0,37.089833488000004,42.0%,20,25.3%,2000,2022-06-26 12:07:01.616988
8,26.88583206666666,22.0,41.459993253105594,39.4%,22,22.8%,2000,2022-06-26 12:07:04.932731
9,26.38868533770016,24.0,43.60727155247812,37.7%,24,20.9%,2000,2022-06-26 12:07:08.357087
10,26.25179736209337,26.0,47.13560934560904,35.8%,26,17.8%,2000,2022-06-26 12:07:11.752470
11,26.414647647390698,28.0,52.770422485875706,33.4%,28,15.4%,2000,2022-06-26 12:07:15.098689
12,27.184846172610566,30.0,58.406138311428556,31.8%,30,14.5%,2000,2022-06-26 12:07:18.383459
13,27.0823368984911,32.0,60.78381219368131,30.9%,32,14.1%,2000,2022-06-26 12:07:21.762066
14,27.284387187902198,34.0,60.39542218814431,31.1%,34,9.9%,2000,2022-06-26 12:07:25.153727
15,26.54343970157068,36.0,68.12237342463958,28.1%,36,7.5%,2000,2022-06-26 12:07:28.501752
16,26.83682783930781,38.0,67.2092836002475,28.6%,38,6.8%,2000,2022-06-26 12:07:31.892083
17,26.545239569306954,40.0,72.51910132094174,26.8%,40,3.9%,2000,2022-06-26 12:07:35.254826
18,27.172488417512668,42.0,79.54127665565441,25.5%,42,5.1%,2000,2022-06-26 12:07:38.387287
19,27.067607455555542,44.0,189.12354795920893,12.5%,44,2.4%,2000,2022-06-26 12:07:41.495006
20,26.80720039302883,46.0,187.49480823947056,12.5%,46,1.8%,2000,2022-06-26 12:07:44.605053
21,26.66636535300922,48.0,184.71908853302438,12.6%,48,1.4%,2000,2022-06-26 12:07:47.904378
22,27.104810380073772,50.0,202.34354063423646,11.8%,50,1.3%,2000,2022-06-26 12:07:50.377966
23,26.920548998841213,52.0,193.75193189907196,12.2%,52,0.5%,2000,2022-06-26 12:07:52.921392
24,27.061752818840613,54.0,207.96728257678348,11.5%,54,0.2%,2000,2022-06-26 12:07:55.701355
25,26.966482936979812,56.0,209.24799126190476,11.4%,56,0.1%,2000,2022-06-26 12:07:57.995683
26,26.579255682867547,58.0,219.74343217639904,10.8%,58,0.0%,2000,2022-06-26 12:08:00.573055
